date,admin1,admin2,market,latitude,longitude,category,commodity,unit,pricetype,currency,price,usdprice
2003-03-15,Maharashtra,Mumbai city,Mumbai,18.97,72.8,cereals and tubers,Potatoes,KG,actual,INR,5.5,0.12
2003-03-15,Tamil Nadu,Chennai,Chennai,13.086,80.3,cereals and tubers,Potatoes,KG,actual,INR,5.74,0.12
2003-04-15,Bihar,Patna,Patna,25.6,85.1,cereals and tubers,Potatoes,KG,actual,INR,2.83,0.06
2003-04-15,Delhi,Delhi,Delhi,28.67,77.2,cereals and tubers,Potatoes,KG,actual,INR,4.44,0.09
2003-04-15,Maharashtra,Mumbai city,Mumbai,18.97,72.8,cereals and tubers,Potatoes,KG,actual,INR,6.78,0.14
2003-04-15,Tamil Nadu,Chennai,Chennai,13.086,80.3,cereals and tubers,Potatoes,KG,actual,INR,8.44,0.18
2003-05-15,Bihar,Patna,Patna,25.6,85.1,cereals and tubers,Potatoes,KG,actual,INR,2.81,0.06
2003-05-15,Delhi,Delhi,Delhi,28.67,77.2,cereals and tubers,Potatoes,KG,actual,INR,4.58,0.1
2003-05-15,Maharashtra,Mumbai city,Mumbai,18.97,72.8,cereals and tubers,Potatoes,KG,actual,INR,5.97,0.13
2003-05-15,Tamil Nadu,Chennai,Chennai,13.086,80.3,cereals and tubers,Potatoes,KG,actual,INR,8.0,0.17
2003-06-15,Bihar,Patna,Patna,25.6,85.1,cereals and tubers,Potatoes,KG,actual,INR,4.0,0.09
2003-06-15,Delhi,Delhi,Delhi,28.67,77.2,cereals and tubers,Potatoes,KG,actual,INR,6.12,0.13
2003-06-15,Maharashtra,Mumbai city,Mumbai,18.97,72.8,cereals and tubers,Potatoes,KG,actual,INR,7.31,0.16
2003-06-15,Tamil Nadu,Chennai,Chennai,13.086,80.3,cereals and tubers,Potatoes,KG,actual,INR,8.52,0.18
2003-07-15,Bihar,Patna,Patna,25.6,85.1,cereals and tubers,Potatoes,KG,actual,INR,4.0,0.09
2003-07-15,Delhi,Delhi,Delhi,28.67,77.2,cereals and tubers,Potatoes,KG,actual,INR,8.76,0.19
2003-07-15,Maharashtra,Mumbai city,Mumbai,18.97,72.8,cereals and tubers,Potatoes,KG,actual,INR,7.02,0.15
2003-07-15,Tamil Nadu,Chennai,Chennai,13.086,80.3,cereals and tubers,Potatoes,KG,actual,INR,9.0,0.2
2003-08-15,Bihar,Patna,Patna,25.6,85.1,cereals and tubers,Potatoes,KG,actual,INR,4.0,0.09
2003-08-15,Delhi,Delhi,Delhi,28.67,77.2,cereals and tubers,Potatoes,KG,actual,INR,8.42,0.18
2003-08-15,Maharashtra,Mumbai city,Mumbai,18.97,72.8,cereals and tubers,Potatoes,KG,actual,INR,6.61,0.14
2003-08-15,Tamil Nadu,Chennai,Chennai,13.086,80.3,cereals and tubers,Potatoes,KG,actual,INR,9.0,0.2
2003-09-15,Bihar,Patna,Patna,25.6,85.1,cereals and tubers,Potatoes,KG,actual,INR,4.0,0.09
2003-09-15,Delhi,Delhi,Delhi,28.67,77.2,cereals and tubers,Potatoes,KG,actual,INR,8.36,0.18
2003-09-15,Maharashtra,Mumbai city,Mumbai,18.97,72.8,cereals and tubers,Potatoes,KG,actual,INR,6.73,0.15
2003-09-15,Tamil Nadu,Chennai,Chennai,13.086,80.3,cereals and tubers,Potatoes,KG,actual,INR,7.91,0.17
2003-10-15,Bihar,Patna,Patna,25.6,85.1,cereals and tubers,Potatoes,KG,actual,INR,4.41,0.1
2003-10-15,Delhi,Delhi,Delhi,28.67,77.2,cereals and tubers,Potatoes,KG,actual,INR,8.48,0.19
2003-10-15,Maharashtra,Mumbai city,Mumbai,18.97,72.8,cereals and tubers,Potatoes,KG,actual,INR,7.5,0.16
2003-10-15,Tamil Nadu,Chennai,Chennai,13.086,80.3,cereals and tubers,Potatoes,KG,actual,INR,7.5,0.16
2003-11-15,Bihar,Patna,Patna,25.6,85.1,cereals and tubers,Potatoes,KG,actual,INR,5.0,0.11
2003-11-15,Delhi,Delhi,Delhi,28.67,77.2,cereals and tubers,Potatoes,KG,actual,INR,6.89,0.15
2003-11-15,Maharashtra,Mumbai city,Mumbai,18.97,72.8,cereals and tubers,Potatoes,KG,actual,INR,7.71,0.17
2003-11-15,Tamil Nadu,Chennai,Chennai,13.086,80.3,cereals and tubers,Potatoes,KG,actual,INR,7.68,0.17
2003-12-15,Bihar,Patna,Patna,25.6,85.1,cereals and tubers,Potatoes,KG,actual,INR,5.0,0.11
2003-12-15,Delhi,Delhi,Delhi,28.67,77.2,cereals and tubers,Potatoes,KG,actual,INR,5.17,0.11
2003-12-15,Maharashtra,Mumbai city,Mumbai,18.97,72.8,cereals and tubers,Potatoes,KG,actual,INR,7.5,0.16
2003-12-15,Tamil Nadu,Chennai,Chennai,13.086,80.3,cereals and tubers,Potatoes,KG,actual,INR,9.0,0.2
2004-01-15,Bihar,Patna,Patna,25.6,85.1,cereals and tubers,Potatoes,KG,actual,INR,5.0,0.11
2004-01-15,Delhi,Delhi,Delhi,28.67,77.2,cereals and tubers,Potatoes,KG,actual,INR,4.01,0.09
2004-01-15,Maharashtra,Mumbai city,Mumbai,18.97,72.8,cereals and tubers,Potatoes,KG,actual,INR,7.4,0.16
2004-01-15,Tamil Nadu,Chennai,Chennai,13.086,80.3,cereals and tubers,Potatoes,KG,actual,INR,8.71,0.19
